school,year,category,value
Scripps,2023,Nonresident,47
Scripps,2023,Hispanic/Latino,132
Scripps,2023,"Black or African American, non-Hispanic",44
Scripps,2023,"White, non-Hispanic",578
Scripps,2023,"American Indian or Alaska Native, non-Hispanic",0
Scripps,2023,"Asian, non-Hispanic",147
Scripps,2023,"Native Hawaiian or other Pacific Island, non-Hispanic",0
Scripps,2023,"Two or more races, non-Hispanic",122
Scripps,2023,Race and/or ethnicity unknown,12
Scripps,2022,Nonresident,40
Scripps,2022,Hispanic/Latino,139
Scripps,2022,"Black or African American, non-Hispanic",43
Scripps,2022,"White, non-Hispanic",585
Scripps,2022,"American Indian or Alaska Native, non-Hispanic",0
Scripps,2022,"Asian, non-Hispanic",138
Scripps,2022,"Native Hawaiian or other Pacific Island, non-Hispanic",0
Scripps,2022,"Two or more races, non-Hispanic",123
Scripps,2022,Race and/or ethnicity unknown,13
Scripps,2021,Nonresident,43
Scripps,2021,Hispanic/Latino,145
Scripps,2021,"Black or African American, non-Hispanic",42
Scripps,2021,"White, non-Hispanic",589
Scripps,2021,"American Indian or Alaska Native, non-Hispanic",0
Scripps,2021,"Asian, non-Hispanic",155
Scripps,2021,"Native Hawaiian or other Pacific Island, non-Hispanic",0
Scripps,2021,"Two or more races, non-Hispanic",105
Scripps,2021,Race and/or ethnicity unknown,16
Scripps,2020,Nonresident,42
Scripps,2020,Hispanic/Latino,138
Scripps,2020,"Black or African American, non-Hispanic",35
Scripps,2020,"White, non-Hispanic",471
Scripps,2020,"American Indian or Alaska Native, non-Hispanic",0
Scripps,2020,"Asian, non-Hispanic",159
Scripps,2020,"Native Hawaiian or other Pacific Island, non-Hispanic",1
Scripps,2020,"Two or more races, non-Hispanic",78
Scripps,2020,Race and/or ethnicity unknown,12
Scripps,2019,Nonresident,54
Scripps,2019,Hispanic/Latino,156
Scripps,2019,"Black or African American, non-Hispanic",40
Scripps,2019,"White, non-Hispanic",570
Scripps,2019,"American Indian or Alaska Native, non-Hispanic",0
Scripps,2019,"Asian, non-Hispanic",175
Scripps,2019,"Native Hawaiian or other Pacific Island, non-Hispanic",2
Scripps,2019,"Two or more races, non-Hispanic",71
Scripps,2019,Race and/or ethnicity unknown,21
Scripps,2018,Nonresident,51
Scripps,2018,Hispanic/Latino,142
Scripps,2018,"Black or African American, non-Hispanic",42
Scripps,2018,"White, non-Hispanic",556
Scripps,2018,"American Indian or Alaska Native, non-Hispanic",0
Scripps,2018,"Asian, non-Hispanic",173
Scripps,2018,"Native Hawaiian or other Pacific Island, non-Hispanic",2
Scripps,2018,"Two or more races, non-Hispanic",53
Scripps,2018,Race and/or ethnicity unknown,30
Scripps,2017,Nonresident,59
Scripps,2017,Hispanic/Latino,141
Scripps,2017,"Black or African American, non-Hispanic",38
Scripps,2017,"White, non-Hispanic",564
Scripps,2017,"American Indian or Alaska Native, non-Hispanic",0
Scripps,2017,"Asian, non-Hispanic",170
Scripps,2017,"Native Hawaiian or other Pacific Island, non-Hispanic",2
Scripps,2017,"Two or more races, non-Hispanic",48
Scripps,2017,Race and/or ethnicity unknown,44
Scripps,2016,Nonresident,54
Scripps,2016,Hispanic/Latino,117
Scripps,2016,"Black or African American, non-Hispanic",42
Scripps,2016,"White, non-Hispanic",542
Scripps,2016,"American Indian or Alaska Native, non-Hispanic",0
Scripps,2016,"Asian, non-Hispanic",157
Scripps,2016,"Native Hawaiian or other Pacific Island, non-Hispanic",1
Scripps,2016,"Two or more races, non-Hispanic",62
Scripps,2016,Race and/or ethnicity unknown,64
Scripps,2015,Nonresident,46
Scripps,2015,Hispanic/Latino,111
Scripps,2015,"Black or African American, non-Hispanic",36
Scripps,2015,"White, non-Hispanic",469
Scripps,2015,"American Indian or Alaska Native, non-Hispanic",0
Scripps,2015,"Asian, non-Hispanic",157
Scripps,2015,"Native Hawaiian or other Pacific Island, non-Hispanic",1
Scripps,2015,"Two or more races, non-Hispanic",79
Scripps,2015,Race and/or ethnicity unknown,74
Scripps,2014,Nonresident,45
Scripps,2014,Hispanic/Latino,91
Scripps,2014,"Black or African American, non-Hispanic",31
Scripps,2014,"White, non-Hispanic",476
Scripps,2014,"American Indian or Alaska Native, non-Hispanic",1
Scripps,2014,"Asian, non-Hispanic",178
Scripps,2014,"Native Hawaiian or other Pacific Island, non-Hispanic",1
Scripps,2014,"Two or more races, non-Hispanic",61
Scripps,2014,Race and/or ethnicity unknown,88
